Date,Month Abbr,State,Number of Flights,Positive,Daily Positve Increase,Deaths,Daily Death Increase,Total Tested,Daily Test Increase
7/26/2020,Jul,Texas,2457,381656,5810,5038,153,3369975,63933
7/26/2020,Jul,Utah,480,37973,350,274,0,505351,5212
7/26/2020,Jul,Washington,726,55773,321,1494,0,1018223,4944
7/27/2020,Jul,Arizona,423,163827,1813,3304,0,878333,11230
7/27/2020,Jul,California,1833,460550,6891,8445,29,7296578,128439
7/27/2020,Jul,Colorado,845,44336,547,1661,0,635575,11224
7/27/2020,Jul,Florida,1001,432747,8892,6049,77,3431497,44994
7/27/2020,Jul,Georgia,1724,170843,2890,3509,11,1452963,24018
7/27/2020,Jul,Illinois,1923,173897,1231,7608,18,2543376,30567
7/27/2020,Jul,Maryland,261,84876,1128,3447,7,1115211,23395
7/27/2020,Jul,Massachuttces,512,115926,289,8536,7,1510417,22023
7/27/2020,Jul,Michigan,581,87173,512,6405,5,1700489,29745
7/27/2020,Jul,Minniesota,430,51803,650,1616,2,970726,13352
7/27/2020,Jul,Nevada,455,43831,997,739,5,444679,5757
7/27/2020,Jul,New Jersey,412,179812,449,15657,18,1983841,30552
7/27/2020,Jul,New York,781,412344,608,25117,11,5627149,57270
7/27/2020,Jul,North Carolina,609,114338,1625,1790,5,1635476,22091
7/27/2020,Jul,Pennsylvania,395,108264,839,7122,4,1150688,14487
7/27/2020,Jul,Texas,2227,385923,4267,5713,675,3428882,58907
7/27/2020,Jul,Utah,415,38409,436,281,7,509858,4507
7/27/2020,Jul,Washington,613,56746,973,1501,7,1035519,17296
7/28/2020,Jul,Arizona,400,165934,2107,3408,104,890931,12598
7/28/2020,Jul,California,1728,466550,6000,8518,73,7417866,121288
7/28/2020,Jul,Colorado,652,44565,229,1668,7,638968,3393
7/28/2020,Jul,Florida,865,441977,9230,6240,191,3480299,48802
7/28/2020,Jul,Georgia,1598,175052,4209,3563,54,1487326,34363
7/28/2020,Jul,Illinois,1610,174973,1076,7638,30,2571707,28331
7/28/2020,Jul,Maryland,253,85524,648,3458,11,1139155,23944
7/28/2020,Jul,Massachuttces,374,116182,256,8551,15,1536007,25590
7/28/2020,Jul,Michigan,538,87958,785,6421,16,1727882,27393
7/28/2020,Jul,Minniesota,404,52281,478,1620,4,979988,9262
7/28/2020,Jul,Nevada,340,44936,1105,759,20,450886,6207
7/28/2020,Jul,New Jersey,407,180295,483,15679,22,1984304,463
7/28/2020,Jul,New York,672,412878,534,25126,9,5684546,57397
7/28/2020,Jul,North Carolina,423,116087,1749,1820,30,1663540,28064
7/28/2020,Jul,Pennsylvania,326,109384,1120,7146,24,1169160,18472
7/28/2020,Jul,Texas,1899,394265,8342,5877,164,3476926,48044
7/28/2020,Jul,Utah,409,38855,446,286,5,514509,4651
7/28/2020,Jul,Washington,627,57655,909,1518,17,1051622,16103
7/29/2020,Jul,Arizona,376,168273,2339,3454,46,901429,10498
7/29/2020,Jul,California,1628,475305,8755,8715,197,7517466,99600
7/29/2020,Jul,Colorado,681,45314,749,1679,11,656305,17337
7/29/2020,Jul,Florida,769,451423,9446,6457,217,3526765,46466
7/29/2020,Jul,Georgia,1600,178323,3271,3642,79,1512464,25138
7/29/2020,Jul,Illinois,1527,176366,1393,7654,16,2609894,38187
7/29/2020,Jul,Maryland,251,86285,761,3478,20,1154902,15747
7/29/2020,Jul,Massachuttces,356,116684,502,8580,29,1558049,22042
7/29/2020,Jul,Michigan,561,88974,1016,6422,1,1793233,65351
7/29/2020,Jul,Minniesota,390,52947,666,1629,9,993091,13103
7/29/2020,Jul,Nevada,328,45806,870,780,21,457385,6499
7/29/2020,Jul,New Jersey,386,180766,471,15697,18,2042682,58378
7/29/2020,Jul,New York,572,413593,715,25132,6,5746822,62276
7/29/2020,Jul,North Carolina,413,117850,1763,1865,45,1691434,27894
7/29/2020,Jul,Pennsylvania,313,110218,834,7162,16,1184081,14921
7/29/2020,Jul,Texas,1747,403307,9042,6190,313,3539368,62442
7/29/2020,Jul,Utah,374,39194,339,292,6,518191,3682
7/29/2020,Jul,Washington,596,58530,875,1548,30,1066898,15276
7/30/2020,Jul,Arizona,413,170798,2525,3626,172,913266,11837
7/30/2020,Jul,California,1849,485502,10197,8909,194,7633840,116374
7/30/2020,Jul,Colorado,832,45796,482,1688,9,668245,11940
7/30/2020,Jul,Florida,996,461379,9956,6709,252,3579117,52352
7/30/2020,Jul,Georgia,1723,182286,3963,3671,29,1541389,28925
7/30/2020,Jul,Illinois,1816,178138,1772,7670,16,2651028,41134
7/30/2020,Jul,Maryland,285,87177,892,3488,10,1180591,25689
7/30/2020,Jul,Massachuttces,478,117098,414,8595,15,1580970,22921
7/30/2020,Jul,Michigan,596,89781,807,6443,21,1813178,19945
7/30/2020,Jul,Minniesota,438,53692,745,1634,5,1007882,14791
7/30/2020,Jul,Nevada,445,46824,1018,801,21,463645,6260
7/30/2020,Jul,New Jersey,474,180970,204,15708,11,2059564,16882
7/30/2020,Jul,New York,763,414370,777,25145,13,5820368,73546
7/30/2020,Jul,North Carolina,601,120194,2344,1903,38,1724924,33490
7/30/2020,Jul,Pennsylvania,409,111078,860,7176,14,1199937,15856
7/30/2020,Jul,Texas,1952,412107,8800,6274,84,3609474,70106
7/30/2020,Jul,Utah,439,39696,502,300,8,524367,6176
7/30/2020,Jul,Washington,678,59263,733,1555,7,1081486,14588
7/31/2020,Jul,Arizona,423,174010,3212,3694,68,933743,20477
7/31/2020,Jul,California,1831,493588,8086,9005,96,7811041,177201
7/31/2020,Jul,Colorado,845,46204,408,1691,3,678823,10578
7/31/2020,Jul,Florida,965,470386,9007,6966,257,3628088,48971
7/31/2020,Jul,Georgia,1748,186352,4066,3752,81,1574687,33298
7/31/2020,Jul,Illinois,1784,180118,1980,7692,22,2700849,49821
7/31/2020,Jul,Maryland,284,88346,1169,3493,5,1209223,28632
7/31/2020,Jul,Massachuttces,517,117612,514,8609,14,1602496,21526
7/31/2020,Jul,Michigan,609,90574,793,6450,7,1844447,31269
7/31/2020,Jul,Minniesota,444,54463,771,1640,6,1024916,17034
7/31/2020,Jul,Nevada,457,48088,1264,830,29,469903,6258
7/31/2020,Jul,New Jersey,455,181660,690,15719,11,2096329,36765
7/31/2020,Jul,New York,768,415014,644,25150,5,5889237,68869
7/31/2020,Jul,North Carolina,606,122148,1954,1924,21,1757102,32178
7/31/2020,Jul,Pennsylvania,384,112048,970,7189,13,1216872,16935
7/31/2020,Jul,Texas,2164,420946,8839,6569,295,3669752,60278
7/31/2020,Jul,Utah,434,40196,500,304,4,528910,4543
7/31/2020,Jul,Washington,668,59950,687,1564,9,1096302,14816
8/1/2020,Aug,Arizona,405,177002,2992,3747,53,948650,14907
8/1/2020,Aug,California,1938,500130,6542,9224,219,7886587,75546
8/1/2020,Aug,Colorado,732,46809,605,1691,0,691365,12542
8/1/2020,Aug,Florida,934,480028,9642,7144,178,3679443,51355
8/1/2020,Aug,Georgia,1896,190012,3660,3825,73,1596085,21398
8/1/2020,Aug,Illinois,1749,181757,1639,7700,8,2740658,39809
8/1/2020,Aug,Maryland,265,89365,1019,3506,13,1240227,31004
8/1/2020,Aug,Massachuttces,480,118040,428,8626,17,1613551,11055
8/1/2020,Aug,Michigan,629,91332,758,6457,7,1876830,32383
8/1/2020,Aug,Minniesota,454,55188,725,1646,6,1040317,15401
8/1/2020,Aug,Nevada,390,49074,986,832,2,474220,4317
8/1/2020,Aug,New Jersey,419,182029,369,15731,12,2096698,369
8/1/2020,Aug,New York,846,415767,753,25164,14,5971974,82737
8/1/2020,Aug,North Carolina,590,123878,1730,1964,40,1786412,29310
8/1/2020,Aug,Pennsylvania,321,112936,888,7204,15,1232322,15450
8/1/2020,Aug,Texas,2076,430485,9539,6837,268,3747779,78027
8/1/2020,Aug,Utah,445,40702,506,310,6,533260,4350
8/1/2020,Aug,Washington,770,60360,410,1564,0,1105298,8996
8/2/2020,Aug,Arizona,421,178467,1465,3765,18,956428,7778
8/2/2020,Aug,California,2014,509162,9032,9356,132,8035975,149388
8/2/2020,Aug,Colorado,804,47267,458,1691,0,703954,12589
8/2/2020,Aug,Florida,968,487132,7104,7206,62,3720997,41554
8/2/2020,Aug,Georgia,2223,193177,3165,3840,15,1624640,28555
8/2/2020,Aug,Illinois,1748,183224,1467,7714,14,2779603,38945
8/2/2020,Aug,Maryland,274,90274,909,3515,9,1264012,23785
8/2/2020,Aug,Massachuttces,596,118458,418,8638,12,1621729,8178
8/2/2020,Aug,Michigan,712,91761,429,6457,0,1901841,25011
8/2/2020,Aug,Minniesota,499,55947,759,1654,8,1054962,14645
8/2/2020,Aug,Nevada,471,50205,1131,832,0,482119,7899
8/2/2020,Aug,New Jersey,494,182350,321,15737,6,2145878,49180
8/2/2020,Aug,New York,973,416298,531,25170,6,6030935,58961
8/2/2020,Aug,North Carolina,600,125219,1341,1969,5,1813510,27098
8/2/2020,Aug,Pennsylvania,360,113590,654,7209,5,1244569,12247
8/2/2020,Aug,Texas,2141,430485,0,6837,0,3747779,0
8/2/2020,Aug,Utah,490,41175,473,311,1,536716,3456
8/2/2020,Aug,Washington,797,60588,228,1592,28,1110085,4787
8/3/2020,Aug,Arizona,432,179497,1030,3779,14,964418,7990
8/3/2020,Aug,California,2004,514901,5739,9388,32,8184696,148721
